IDOcorrencia,IDLocal
2470165523,1776
2466243951,2423
2463763971,1808
2466243951,670
2466243951,2182
2468534885,354
2477301314,820
2490078284,1771
2490078284,2452
2511683629,1754
2475451564,1644
2487871581,1521
2479518752,689
2534726689,1089
2534726689,1075
2481240223,1905
2489799299,663
2489799299,1001
2489799299,756
2489799299,1144
2489799299,1741
2499680921,2011
2493515524,106
2533504004,511
2489799299,1349
2490856287,1845
2499680921,606
2501740569,1958
2501872035,1426
2501872035,1312
2501872035,1250
2501846801,886
2501133377,585
2502392112,2261
2502890676,1241
2528427804,20
2518233652,2149
2511967814,1144
2513838592,310
2511967814,827
2513838592,106
2569363075,1845
2601474066,1956
2524249408,587
2522438319,2268
2522438319,2239
2528972173,354
2561608510,1886
2529575973,1197
2527894921,461
2528832376,2706
2527894921,1754
2561496640,1060
2532184693,1623
2530856324,1114
2533224055,1610
2535004427,2011
2533224055,551
2564334236,1709
2534926262,1299
2534926262,1920
2534926262,576
2539058281,1858
2537462414,1656
2541285983,2489
2539058281,1854
2561603498,2662
2561603498,2263
2584678704,1536
2561603498,1701
2561603498,2663
2561603498,2338
2561602633,2271
2561413561,1832
2583445159,1202
2583338030,2330
2583338030,2122
2583445159,181
2569613202,7113
2569215601,320
2579444408,237
2572692297,2122
2669276699,2434
2670656028,1523
2748385846,358
2688830338,1355
2680981253,1145
2688830338,1705
2685126964,883
2682106253,1605
2682106253,2168
2682106253,106
2682106253,936
2687157874,2249
2686931849,1144
2694301047,2278
2696446769,2021
2691949900,1591
2696533626,1169
2718039565,723
2700547476,1426
2696533626,1226
2696533626,1312
2696533626,1250
2693175709,2858
2696533626,719
2701511580,2174
2735520671,2174
2735520671,675
2701310315,237
2701310315,1299
2701511580,1236
2701310315,1554
2725950610,2102
2714417948,2281
2700722594,182
2700131212,2968
2700722594,714
2704708377,2687
2704708377,2916
2704708377,2769
2716875701,1171
2716875701,2501
2721157923,384
2721157923,68
2716875701,2452
2717969322,1073
2717969322,1540
2717969322,1374
2717969322,2330
2717969322,623
2717969322,1134
2717969322,1622
2717928804,1943
2739824311,2746
2715748745,2106
2725339952,1949
2725339952,175
2739824311,2630
2719316128,961
2719316128,2093
2719316128,957
2740260150,1772
2723283073,2700
2723283073,2090
2723283073,900
2723283073,771
2745037424,1043
2727685928,2662
2724282901,68
2724624917,1701
2770289969,1401
2736414535,2598
2770289969,987
2765909931,50
